,Job Title,Company,City,Description,Days On Indeed,URL
1,Associate Software Engineer - Do you Code for Fun?,Raytheon,"Rosslyn, VA","Developing and analyzing complex data models and ontologies; Designing algorithms to reason about causal networks in noisy, incomplete, multi-modal data;",1,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2LP6KtwgLMWcIJbzQK4y118hUYa2NHT0ELzb4aR6nDrO9_32R0LtazQt5Ev9ntbNHviBF7-GwCbHdNbNz3vAMl-cvNBOmkR-aDyUJAsnj26j6WFWa8n7WjO34e7nhaIybdkgeKXusIQ5lEbugo2ah9-ZWNaqM21PX-hIH7bOmF77s-VL3YM5cz6PPMa9MzKemtQel4tR8VGkaGHzqQj4ApI3JnxX4z8grnFzvTMopfzZjTdrhCucZC1d1GX9O3izTlzbRNopfWH9r0Z6KplqNEongDiVnNKSl7DCw8iho8GJbJYH3UT4Nj7-31VZF7YHg29o6fwKewAVzigM4AbZNK4Luujhtr1gKzptZv7v6q9XC7uUG6UzSFKb2bLZfW5Sh9fuwAP-tKFD8l0-7z5TTlgvBKOLB_IZ8cBck7BBWkA==&p=0&fvj=0&vjs=3
2,"Data Scientist, Mid",Booz Allen Hamilton,"Rosslyn, VA","As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Possession of excellent data gathering, analytical…",1,www.indeed.com/rc/clk?jk=83f6524595883fe4&fccid=4e041af1d0af1bc8&vjs=3
3,Research Analyst,CENTRA Technology,"Rosslyn, VA","Experience, such as an internship, with a policy agency. CENTRA Technology Inc. has an open position for a junior or mid-level analyst to support a dynamic…",3,www.indeed.com/rc/clk?jk=ac811cc9ec26db15&fccid=b3aefa89185b49b3&vjs=3
4,Intern - Data Scientist,ATPCO,"Rosslyn, VA","As a Data Scientist Intern at ATPCO you will contribute to an agile team of software engineers, product managers and data analysts to simplify billions of data…",4,www.indeed.com/rc/clk?jk=7b22af21358c81a7&fccid=9e48d5b13497d679&vjs=3
5,Legal Fellow,Environmental Defense Fund,"Rosslyn, VA","Ability to collect, analyze, and apply data and prepare reports of findings. EDF offers internships and fellowships for students and recent graduates in a…",4,www.indeed.com/rc/clk?jk=6186d2cac3f725c1&fccid=1514f8a1c4147615&vjs=3
6,Data Analytics Intern | Summer 2020,Arch,"Rosslyn, VA","The Arch Global Mortgage Data Analytics team provides the data analytics strategy and delivers data analytic services, including the development of complex…",5,www.indeed.com/rc/clk?jk=6e232bb797e16179&fccid=ab65954557c457d8&vjs=3
7,Data Analysis Intern,Serco Inc.,"Rosslyn, VA",Identify current sources of staffing data and incoming data files. Document individual properties of data sets. Strong analytical and data management skills.,5,www.indeed.com/rc/clk?jk=ccd5daa663b7a036&fccid=8177021cdb259d9d&vjs=3
8,Operations Research Analyst Internship,Decisive Analytics Corporation,"Rosslyn, VA","Collect, interpret, and analyze data using various analytical methods and statistical techniques. DECISIVE ANALYTICS Corporation is seeking applicants for a…",5,www.indeed.com/rc/clk?jk=89508e9bb7f41b81&fccid=f2ff3a0858fed7fd&vjs=3
9,Operations Research Analyst Intern,"Systems Planning and Analysis, Inc.","Rosslyn, VA","Apply innovative concepts, quantitative tools and creative data visualization methods. Working towards a Bachelor’s degree in Engineering, Math, Ops Research,…",5,www.indeed.com/rc/clk?jk=2e1687028c2e95b5&fccid=ccfce62820936877&vjs=3
10,Operations Research Analyst-Recent Graduate,"Systems Planning and Analysis, Inc.","Rosslyn, VA","Internship or paid work experience with and manipulating data using programming languages or analysis packages (e.g. VBA, SQL, Python, R, MATLAB).",5,www.indeed.com/rc/clk?jk=f19ee9b06042607f&fccid=ccfce62820936877&vjs=3
